Structure: player,piece name,x,y,rotation,flip


Game 1 with players: R AB_1 AB_2 AB_2
RED,L4,19,1,1,1
YELLOW,M5,1,1,1,1
GREEN,line5,2,19,2,1
BLUE,M5,18,18,2,0
RED,L5tall,16,4,2,0
YELLOW,X5,4,3,1,1
GREEN,X5,5,17,1,1
BLUE,chunky5,15,15,0,0
RED,z5,14,2,2,0
YELLOW,line5,0,5,1,0
GREEN,-L,2,15,2,1
BLUE,line5,11,14,0,0
RED,L5,13,7,2,0
YELLOW,-L,1,9,0,0
GREEN,L5tall,0,12,1,0
BLUE,-L,7,12,2,1
RED,C5,9,5,0,0
YELLOW,L5tall,3,10,3,1
GREEN,z5,4,13,1,0
BLUE,L5tall,5,9,1,0
RED,3corner,10,9,1,1
YELLOW,z5,2,6,3,1
GREEN,chunky5,7,14,0,0
BLUE,z5,6,4,1,0
RED,Z5,8,11,0,0
YELLOW,chunky5,5,0,0,0
GREEN,T5,9,17,1,0
BLUE,T5,7,8,1,0
RED,tree5,11,11,1,1
YELLOW,T5,8,2,0,0
GREEN,C5,13,17,1,1
BLUE,C5,14,12,1,0
RED,twoPiece,19,5,2,0
YELLOW,C5,11,0,0,0
GREEN,L5,16,19,1,1
BLUE,L5,13,8,0,0
RED,line5,17,8,3,0
YELLOW,L5,11,4,1,0
GREEN,M5,18,15,0,1
BLUE,X5,17,12,0,0
RED,singleSquare,6,11,3,1
YELLOW,tree5,15,5,0,1
GREEN,tree5,16,14,2,1
BLUE,tree5,18,8,1,0
RED,t4,19,11,1,1
YELLOW,l4,16,8,3,0
GREEN,l4,2,10,3,0
BLUE,z4,3,5,3,1
RED,line3,6,8,3,0
YELLOW,cube,18,3,0,0
GREEN,cube,12,12,0,0
BLUE,L4,1,4,3,1
YELLOW,Z5,16,1,1,1
GREEN,t4,7,19,2,0
BLUE,t4,3,1,0,0
YELLOW,line3,15,3,0,0
GREEN,3corner,0,17,1,0
BLUE,3corner,14,18,1,0
YELLOW,3corner,19,6,0,1
GREEN,twoPiece,3,8,0,0
BLUE,l4,11,19,0,0
YELLOW,twoPiece,5,5,3,0
GREEN,singleSquare,2,7,0,0
BLUE,twoPiece,4,11,3,0
YELLOW,singleSquare,2,0,0,0
BLUE,line3,3,14,1,0
BLUE,singleSquare,0,2,0,0

Game 2 with players: AB_2 R R R
RED,tree5,19,2,3,0
YELLOW,chunky5,1,1,1,1
GREEN,z5,1,18,0,1
BLUE,l4,19,17,3,0
RED,chunky5,16,3,0,0
YELLOW,z5,2,5,3,1
GREEN,singleSquare,4,19,2,1
BLUE,X5,17,15,1,1
RED,line5,12,2,0,0
YELLOW,3corner,0,6,1,0
GREEN,tree5,5,16,1,0
BLUE,singleSquare,16,13,2,0
RED,-L,8,1,0,1
YELLOW,singleSquare,2,7,0,1
GREEN,X5,8,17,2,0
BLUE,chunky5,18,12,3,1
RED,L5tall,4,1,0,0
YELLOW,t4,3,9,3,1
GREEN,twoPiece,7,14,3,0
BLUE,twoPiece,14,16,2,1
RED,z5,4,3,0,1
YELLOW,T5,5,12,2,1
GREEN,L5,12,18,2,0
BLUE,L4,16,18,1,1
RED,T5,5,6,1,0
